,date,reviews,stars,route,country,year
0,2024-08-05,I flew internationally first time life delay end missed connecting flight destination When I asked help ahead time I told run next gate Needless say I missed flight There three British Airways employees customer service desk I next line Heathrow two went break despite ever growing line due multiple people missing flights airlines similar circumstances After additional minutes waiting assistance I given receipt not boarding pass caused issues next connecting flight Barcelona Rome coordinated British Airways And outbound trip On return trip British Airways flight ended landing minutes late landed connecting flight boarding downstairs exit gate I denied entry connecting flight I minutes past time started board delay British airways The boarding close hour leave another hour half later according notifications phone So instead helped I denied entry I missed beginning boarding minutes due connecting flight delay Again I waited customer service line Heathrow reschedule flight I already boarding pass hand I still made final destination I not recommend Heathrow Airport either The British Airlines employee came saw upset denied board return flight asked happened Her solution problem not fly British Airways future Thanks lot lady I already figured I given meal voucher bus voucher hotel voucher due many inconveniences I not flown airlines ever life I issues Thankfully I checked bags I not speak effect,1,Rome to Philadelphia via London,United States,2024
1,2024-08-03,BA subsequent delays postponed departure times initial passengers gathering already assigned gate crew ready board aircraft ready outside decided cancel flight Reason provided intercom absence pilots All passengers told hotels could booked everyone note follow Rage mounted amongst us Brits done without response Myself others reasons insist till AM The crew kept saying rebooking possible apart automated one expected us cross Europe get destination hotel booking power either Well liars After hours pushing raging one person came hotel bookings roughly us kept fighting Liars also another reason one angel told us way rebooked But one took apart suggested way worked It meant breaking rules made mess sort With hours sleep hours I managed get back I I committed avoid BA much I shall able Some clerks told impossible working cuts save money company runs pretty bad financial waters Hubs Heathrow almost presence passengers checking bags bag drops spending hours phones expenses BA messes frequently lately It pity seeing decay time change leadership team CEO,1,London to Bologna,Italy,2024
2,2024-08-02,It embarrassing word British attached airline The service substandard every way possible exception food couple stand staff I accept delays technical problems happen How handled opinion not responsible left everyone plane hours midnight disembarked saying hotels available staff unload luggage The plane inevitable people young children elderly All left fend Several times mentioned worry duty care really none Singapore London flight not wifi enabled cram business class seats across width Comfort service not reflect price well leading airlines avoid cost,1,Sydney to London,Australia,2024
3,2024-08-02,Flight cancelled due bad weather BA contacted email immediately provided alternative booking well link suggestion different flight convenient Clicked link assisted promptly service rep rebooked sent details within minutes Great customer service BA well done,10,Dublin to London Heathrow,United Kingdom,2024
4,2024-07-30,British Airways oversold LHR LAX flight I booked months advance paid full actually paid extra fly Airbus A Tried check online day flight got unknown system error check Arrived LHR hours early none BA kiosks worked manual check understaffed BA staff unhelpful Insane queue times lots frustrated passengers line Denied boarding gate flight oversold explanations apologies constantly ignored BA staff patience listen situation helpful Finally gate manager books alternate flight Paris CDG supposedly connect Air France flight We get CDG told Air France flight full idea BA manager bumped AF flight also full That insult injury bumped twice Went BA desk CDG help told us call BA even provide phone number told us look online On top luggage lost somewhere BA AF Paris CDG I American citizen speak perfect English I feel completely humiliated treated like second class citizen multiple BA staff whole ordeal Mostly ignore bounce one counter another without even trying listen problem Zero accountability Will never ever fly BA Absolute worst travel experience life,1,London to Los Angeles via Paris CDG,United States,2024
5,2024-07-30,I travelled London Doha July th I physically check BA Business T I ongoing connection Doha flight code share Qatar I paid flight Qatar paid seat online I could sit I like sit I got check discovered I reseated elsewhere cabin told policy basically shut I discovered BA not recognise Qatar frequent flyer rules despite sharing Avios points I Gold card holder Qatar affords extra kilos baggage BA tried tell I pay After arguing eventually accepted The Lounge packed staff less helpful I tried get answers seat reassignment I told I would get money back chance even try The flight boarded bus journey took minutes get terminal aircraft I guessing another terminal took long get Why not board us terminal rather drag us airport Finally got onto plane BA staff not friendly wonder ranked th I realise privilege allowed step onto BA flight departed minutes late Myself many travellers connections meant I either going miss connection I would manage make connection luggage Would BA flight crew help board figure connection eventually came tell haughty attitude We landing minutes earlier give full minutes make connection Landing early not mean getting gate earlier usually takes least minutes landing gate another jetway attached lucky sitting near door straight not minutes disembark want helpful say stupid things people frequent travellers As turned I sitting near door run plane Qatar assist I run A gates way C gates make connection not short distance year old luggage not make Many others not fortunate make connections Why put page flight entertainment connections not going provide information public information look line aircraft access WiFi satellite communication I fail understand information not captured displayed I complained BA got wishy washy email number excuses mention seat refund I got paltry voucher I supposed use another BA flight kidding I not sure I want experience However I recently discovered frequently travelled destinations really serviced BA I want fly reasonable hour day go Europe avoid expensive I consider one worst airlines I ever flown getting worse minute Fly absolutely good luck,3,London Heathrow to Doha,United Kingdom,2024
6,2024-07-28,When dropping luggage luggage drop Toulouse airport I travel pram confiscated I forced take sleeping year old arms traveling alone I told staff outsourced British Airways check passengers yoyo prams accepted board I corrected yoyo type prams contested told yoyo prams would allowed I insisted keep sleeping year old pram I would not permitted board flight London This happened families forced go oversized baggage area airport To clarify pram Silver Cross Jet stroller pushchair I specifically purchased conform British Airways specifications I required carry toddler mins security another mins waiting board plane I allowed early boarding moved seat stand side staff options sit At Heathrow I required carry toddler approx mins go passport check luggage claim mentioned previously I traveling alone child support All despite purchasing expensive pram fit requirements coming airport prepared pram I sure agree unacceptable illegal force passengers purchase specific brand products order able keep child travel pram In addition plane I installed Kids Fly Safe Cares Child Airplane Safety Harness son The cabin crew proceeded tell not allowed I go website show incorrect I fact within rights Then landing crew gall tell put harness son mandatory I asked mandatory I bring harness British Airways discriminatory airline parents traveling children needs change My advice treat mom traveling alone sleeping toddler like rubbish confiscate travel pram within regulation forcing worst travel experience possible,1,Toulouse to London Heathrow,United Kingdom,2024
7,2024-07-19,If fly First Class fly British Airways VERY uncomfortable seats You even get seat person front seat reclined need recline seat You pick ANYTHING floor flight bend touch floor enough space If long legs think going comfortable soon person front puts chair back knees WILL CRUSHED Terrible food Terrible plane Terrible air hostesses Terrible flight unfortunately I fly back home,1,San Diego to London,United States,2024
8,2024-07-16,Singapore Heathrow Business class A Premium Economy Plus experience From economy class sized toilets badly designed coffin shaped Business class pods experience substandard business class experience Business class pod storage small drawer FOOT pod The privacy screens opaque plastic sheets kept awake neighbour screen lights pod When seat made coffin shaped bed cold hard plastic seat moulds unpleasant surprise turn sleep You choice neighbour step calf height footrest hopefully not brushing feet step neighbour feet footrest With footrest heaven forbid try lever comfortable position slightest pressure causes footrest collapse floor level position If aisle seat open aisle kiss goodbye privacy not view passengers crew lean serve neighbour food talk neighbour privacy screen,1,Singapore to London,New Zealand,2024
9,2024-07-15,I reported damaged ruined suitcase weeks ago I still awaiting reply I think twice booking BA Customer Service shocking say least I followed British Airways least emails per week requesting update joy far,1,Glasgow to Munich via Heathrow,United Kingdom,2024
10,2024-07-09,On March st I flew Berlin S Paulo BA encountered several issues My first flight delayed several hours causing miss connection London Heathrow Upon arriving airport midnight I given hotel voucher However hotel designated BA rudely denied check claiming fully booked I return Heathrow AM found different hotel paying taxi pocket As result complications I arrived S Paulo hours late Despite efforts assert rights seek reimbursement taxi BA customer service extremely poor Their phone lines non functional emails answered automatically appropriate channels requests not responsive since first week March This experience left extremely disappointed especially considering high standard service I associated BA,1,Berlin to São Paulo via London,Germany,2024
11,2024-07-05,The WORST customer experience British Airways BA effectively robbing people They not help show compassion My partner I fell ill doctor note stating fly BA said hold flight amount voucher valid year Fair enough Caveat not stated us must call not usable holiday packages However using voucher nightmare We use tickets original long haul refuse refund half amount BA customer service awful rude effectively stealing us This policy must stop We feel held hostage solution,1,London to Corfu,United Kingdom,2024
12,2024-07-01,Had cancel flight months advance due change schedule I flying American Airlines British Airways Selected seats I attempted get refund selected seats AA refunded issue BA refused despite companies similar policies Avoid fly anyone else Customer service joke taking weeks respond email giving justification I told phone,1,Toronto to London,Canada,2024
13,2024-06-30,Flight cancelled reason given less h departure The earliest offered replacement terrible use app days later unacceptable Their phone lines not work would reject call due overwhelmed Even submitting claim website frustrating due terrible interface Overall terrible company wholly inadequate customer service,1,London Gatwick to Verona,United Kingdom,2024
14,2024-06-26,This route I fly regularly Used first class security lounge good Lounge surprisingly not busy Was great see departing dreaded A bus gate flight time Boarded ready go time Six passengers show A minute delay offload bags depart longer actual flight There better process fast tracking Hence finally arrived Paris mins late On plus side cabin crew great even personal welcome inflight manager happens less less days,6,London Heathrow to Paris CDG,United Kingdom,2024
15,2024-06-23,While BA may made positive improvements Club World product World Traveler product catering leaves much desired The first meal service slow hours serve meal The portions incredibly small chicken dish contained maybe pieces chicken pieces broccoli piece unknown food Small snacks available flight real let snack landing Vancouver It bizarre tasting chicken pastry wrap much chicken not taste like pastry It sweet mushy salty The seats although not exactly spacious tolerable although aisles narrow cabin crew passengers frequently bumped walking aisles Cabin crew generally responsive passengers request twice flight came aisles drinks However poor level catering made frustrating trip I certainly not recommend BA,3,London Heathrow to Vancouver,Canada,2024
16,2024-06-23,British Airways new Club Suite marked improvement older Club World seats The new Club Suite offers fair amount privacy especially screen door closed includes direct aisle access When fully reclined seat converts fairly spacious bed although I found surface side bit hard uncomfortable sleep The catering board fairly good tasty appetizers main course generally well cooked although cabin crew slow meal service It took almost hours departure Vancouver meal service completed Prior arrival light breakfast served contained croissant small egg bacon sandwich mango puree BA catering flight generally good Unfortunately upon arrival Heathrow passengers wait minutes checked baggage arrive No explanation given not single member ground staff came assist passengers provide information checked baggage would arrive This frustrating end otherwise fairly enjoyable trip Club World left poor last impression BA,5,Vancouver to London Heathrow,Canada,2024
